n	misurata	stimata
444	-0.002540	0.021690
445	-0.000557	0.005620
446	-0.001429	0.005722
447	-0.001897	0.000332
448	0.001052	0.001894
449	0.001105	-0.000629
450	0.000057	0.003101
451	-0.000439	0.016296
452	-0.000182	0.004848
453	-0.000111	0.021262
454	0.000749	0.009571
455	0.000396	0.006764
456	0.001459	0.012852
457	-0.000997	0.004355
458	-0.003231	0.013641
459	0.000566	-0.004314
460	-0.000085	0.005937
461	-0.003993	0.003508
462	-0.004223	0.004967
463	-0.001712	0.013321
464	-0.000860	-0.000050
465	-0.002431	0.015499
466	-0.003169	0.007526
467	-0.002365	0.008045
468	-0.001836	0.012906
469	-0.000180	0.002815
470	0.000837	0.009476
471	-0.005687	0.006702
472	-0.005609	0.007461
473	-0.002080	0.005407
474	-0.000703	0.003244
475	-0.000764	-0.000063
476	-0.003323	-0.001478
477	-0.002205	0.003795
478	-0.000567	0.004154
479	-0.000456	-0.002010
480	-0.003044	0.008349
481	-0.002458	0.011054
482	-0.003088	0.005305
483	-0.000966	0.020744
484	-0.000752	0.000492
485	-0.001334	0.011535
486	0.000660	0.010932
487	-0.000050	0.000730
488	-0.001786	0.014859
489	-0.002306	0.000471
490	0.000445	0.011074
491	-0.002141	0.003866
492	-0.002473	0.003304
493	0.000083	0.011181
494	-0.000473	-0.004067
495	-0.003146	0.012242
496	-0.001674	0.001050
497	-0.001184	0.004235
498	0.002584	0.008324
499	0.000665	0.017247
500	-0.001913	0.038216
501	-0.001730	0.001258
502	-0.000438	0.014420
503	0.001048	0.008662
504	-0.001028	0.025346
505	0.000223	0.034437
506	0.000791	0.021152
507	-0.000119	0.033872
508	-0.001330	0.013493
509	-0.002335	0.035660
510	-0.002815	0.020042
511	-0.000920	-0.018532
