f	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
13986.00	3.682942	4.077444	0.903768	0.860437	1.547440	1.872946	4.189949	4.447738
14112.00	3.612441	4.021365	1.758380	2.655220	1.591201	1.641059	4.119844	4.487028
14238.00	3.757803	4.140082	1.756350	2.491113	1.537412	2.656125	3.935987	4.401324
14364.00	3.816483	4.280450	1.075695	2.699477	1.354459	1.742330	3.860692	4.209601
14490.00	3.705737	4.163942	0.309181	1.638468	1.175572	2.049623	4.065620	4.418301
14616.00	3.649500	4.061900	0.206973	0.484956	1.145160	2.413442	4.205249	4.640712
14742.00	3.749289	4.112823	0.698324	1.647261	1.252933	0.620672	4.035516	4.333964
14868.00	3.829351	4.180730	1.034586	1.850725	1.341328	0.965249	3.916912	4.221917
14994.00	3.806777	4.061798	0.740663	1.410774	1.248673	1.915593	4.193783	4.385730
15120.00	3.812001	4.073605	-0.280798	2.210756	0.910042	0.502523	4.512351	4.844442
15246.00	3.889992	3.960903	-1.786025	-0.220294	0.353861	1.479780	4.508788	4.574211
15372.00	3.912293	3.921880	-3.075983	-3.364792	-0.349068	3.442110	4.282222	4.279579
15498.00	3.876684	4.132034	-3.466722	-7.721009	-1.166573	1.179994	4.012047	4.121982
15624.00	3.943177	4.175508	-3.261566	-4.169751	-2.130890	-1.319678	3.679313	3.906788
15750.00	4.038841	4.321659	-3.168256	-4.594562	-3.259946	-1.991796	3.368013	3.304244
15876.00	3.803204	4.065214	-3.393727	-0.336789	-4.385484	-10.663346	3.356314	2.965521
16002.00	3.072383	3.535089	-3.721453	0.039374	-5.010386	-7.133272	3.518524	3.640114
16128.00	2.300847	2.729486	-3.946020	-1.356751	-4.760164	-6.653005	3.493674	3.696876
16254.00	2.250718	2.508884	-4.017052	-2.724964	-3.957373	-3.295255	3.288557	3.599416
16380.00	2.704693	2.945045	-3.954474	-3.537646	-3.198924	-1.538661	3.081100	3.517712
16506.00	2.909611	3.240050	-3.622703	-2.279066	-2.701989	-0.767052	2.771820	2.697303
16632.00	2.705312	2.982282	-2.970557	-5.370410	-2.388682	2.429610	2.255219	2.311882
16758.00	2.444511	2.800641	-2.278858	-4.298836	-2.102601	-1.112922	1.800249	2.149991
16884.00	2.353847	2.698474	-1.893894	-1.168006	-1.810224	-2.106360	1.539479	2.047205
17010.00	2.226343	2.613606	-1.994027	0.017753	-1.658293	-4.089009	1.179876	1.885864
17136.00	1.907440	2.419089	-2.507384	1.434700	-1.840106	-1.338229	0.821267	1.780909
17262.00	1.586968	2.008149	-3.085695	-0.594397	-2.486359	-2.271420	0.957041	1.136331
