n	misurata	stimata
334	-0.014393	-0.018506
335	-0.022523	-0.021713
336	-0.011053	-0.010950
337	-0.021659	-0.019990
338	-0.012740	-0.017420
339	-0.022844	-0.008800
340	-0.005268	-0.015959
341	-0.014916	0.002403
342	-0.008082	-0.014881
343	-0.013577	-0.004753
344	-0.012452	-0.009898
345	-0.013450	-0.010799
346	-0.006837	0.002225
347	-0.010383	-0.013298
348	-0.002511	-0.001189
349	-0.011278	-0.000985
350	-0.010962	-0.027811
351	-0.013822	0.000732
352	-0.012449	-0.023323
353	-0.014604	-0.013349
354	-0.004905	0.001098
355	-0.013111	-0.020035
356	-0.010469	-0.004922
357	-0.014263	-0.012890
358	-0.013065	-0.017022
359	-0.008242	0.000716
360	-0.004150	-0.012619
361	-0.008705	-0.000782
362	-0.003960	-0.011363
363	-0.009309	-0.001655
364	-0.008089	-0.012433
365	-0.007261	-0.010250
366	-0.005138	0.001548
367	-0.005105	-0.014569
368	-0.001683	0.006812
369	-0.006669	-0.008160
370	-0.001194	-0.000446
371	-0.001939	0.009181
372	0.000181	-0.000622
373	0.001568	0.016492
374	0.001399	-0.000112
375	0.001853	0.010346
376	0.006099	0.010019
377	0.002735	0.002170
378	0.004983	0.015325
379	0.005183	-0.005671
380	0.002397	0.011594
381	0.004929	0.000553
382	0.004686	0.000934
383	0.002474	0.005064
384	0.004140	0.001039
385	0.001998	0.009986
386	0.000625	0.003402
387	0.003458	0.009537
388	0.000619	0.005577
389	0.002550	0.006398
390	0.004368	0.008617
391	0.003758	0.008418
392	0.004007	0.008625
393	0.004884	0.008521
394	0.003055	0.011295
395	0.006520	0.006391
396	0.005310	0.012491
397	0.005565	0.003343
398	0.007061	0.008077
399	0.005738	0.009821
400	0.004642	-0.000140
401	0.004306	0.004503
402	0.002720	0.002322
403	0.005054	0.001982
404	0.006467	0.005648
405	0.004660	0.005737
406	0.006627	0.006781
407	0.004409	0.006001
408	0.004630	0.011679
409	0.005994	0.008392
410	0.004399	0.017103
411	0.004944	0.010408
412	0.006722	0.014008
413	0.003894	0.009883
414	0.005338	0.006391
415	0.005228	0.006274
416	0.003832	0.001443
417	0.005454	0.001803
418	0.005317	-0.000445
419	0.002500	-0.000745
420	0.006784	0.006230
421	0.005419	0.003704
422	0.000738	0.006686
423	0.005985	0.008406
424	0.009400	0.026082
425	0.009170	0.012579
426	0.006739	0.021472
427	0.006582	0.014123
428	0.008435	0.012319
429	0.010244	0.018941
430	0.007821	0.007015
431	0.008967	0.007113
432	0.007493	0.003816
433	0.009095	0.005330
434	0.011376	0.011817
435	0.006998	-0.000397
436	0.009134	0.014005
437	0.007799	0.010231
438	0.009788	0.014119
439	0.014520	0.029495
440	0.004541	0.008578
441	0.006298	0.013909
442	0.003991	0.011383
443	0.010763	0.014279
444	0.014154	0.021690
445	0.008552	0.005620
446	0.006424	0.005722
447	0.002641	0.000332
448	0.005024	0.001894
449	-0.003794	-0.000629
450	0.004026	0.003101
451	0.004318	0.016296
452	0.003651	0.004848
453	0.008413	0.021262
454	0.005845	0.009571
455	0.001858	0.006764
456	0.006000	0.012852
457	0.004702	0.004355
458	0.006304	0.013641
459	0.002309	-0.004314
460	0.003499	0.005937
461	0.007019	0.003508
462	0.009181	0.004967
463	0.005669	0.013321
464	0.005553	-0.000050
465	0.003450	0.015499
466	0.004182	0.007526
467	0.003292	0.008045
468	0.002583	0.012906
469	0.003574	0.002815
470	0.004445	0.009476
471	0.002552	0.006702
472	0.006196	0.007461
473	0.006100	0.005407
474	0.006097	0.003244
475	0.004900	-0.000063
476	0.005695	-0.001478
477	0.007328	0.003795
478	0.006582	0.004154
479	0.002661	-0.002010
480	0.005791	0.008349
481	0.007166	0.011054
482	0.006613	0.005305
483	0.005527	0.020744
484	0.004876	0.000492
485	0.004502	0.011535
486	0.005682	0.010932
487	0.005799	0.000730
488	0.007255	0.014859
489	0.009308	0.000471
490	0.008534	0.011074
491	0.007680	0.003866
492	0.008166	0.003304
493	0.006682	0.011181
494	0.007397	-0.004067
495	0.006361	0.012242
496	0.005228	0.001050
497	0.002615	0.004235
498	-0.000017	0.008324
499	0.017167	0.017247
500	0.023638	0.038216
501	0.006930	0.001258
502	0.001088	0.014420
503	0.007269	0.008662
504	0.021143	0.025346
505	0.023066	0.034437
506	0.027562	0.021152
507	0.021901	0.033872
508	0.019032	0.013493
509	0.030562	0.035660
510	0.014733	0.020042
511	-0.013830	-0.018532
