n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
130	0.000502	-0.004143	0.000397	0.008386	-0.001307	0.039515	-0.000043	0.000290
131	0.000882	-0.002919	-0.000539	0.011326	-0.000838	0.021524	0.000114	0.004371
132	-0.000637	-0.002295	0.000582	0.023167	0.000613	0.036581	-0.000003	-0.003610
133	-0.000552	-0.001441	-0.000728	0.005346	0.001370	0.039460	0.000105	0.002285
134	0.000008	0.001468	0.000756	0.020692	-0.000447	0.020217	0.000014	-0.002411
135	0.001131	-0.000892	-0.000934	0.016547	-0.001327	0.044125	0.000088	-0.004893
136	0.000004	0.001957	0.000914	0.010534	-0.000326	-0.004763	0.000042	0.003292
137	-0.000541	-0.003017	-0.001122	0.025350	0.001331	0.033830	0.000053	-0.007775
138	-0.000624	-0.000802	0.001030	0.025183	0.000573	0.002678	0.000056	-0.001205
139	0.000924	-0.004439	-0.001259	0.031728	-0.001121	0.002832	0.000015	0.000732
140	0.000533	-0.001777	0.001135	0.025803	-0.001169	0.022756	0.000060	-0.005053
141	-0.000153	-0.005007	-0.001408	-0.008520	0.000595	-0.010759	0.000014	0.007014
142	-0.001023	-0.002210	0.001294	0.029833	0.001324	-0.013613	0.000072	-0.004608
143	0.000332	-0.005483	-0.001511	-0.017125	-0.000326	-0.019787	-0.000010	0.005299
144	0.000723	-0.000167	0.001379	-0.005125	-0.001440	-0.028046	0.000096	0.001518
145	0.000514	-0.002976	-0.001562	-0.010881	-0.000517	-0.001105	-0.000035	0.000211
146	-0.000981	0.006302	0.001455	-0.028852	0.001389	-0.016764	0.000109	0.001601
147	-0.000288	-0.000856	-0.001623	-0.010024	0.000643	-0.005144	-0.000028	-0.000628
148	0.000449	0.005601	0.001527	-0.023499	-0.000911	-0.004521	0.000087	-0.000681
149	0.001018	-0.000680	-0.001695	-0.004136	-0.001431	0.003031	-0.000057	0.002940
150	-0.000490	0.003141	0.001560	-0.006194	0.000755	-0.002620	0.000106	-0.005310
151	-0.000654	0.003497	-0.001685	-0.010449	0.001235	0.025883	-0.000082	0.001857
152	-0.000182	0.003714	0.001561	0.015872	0.000133	0.019747	0.000101	-0.002143
153	0.001172	-0.000365	-0.001644	-0.001224	-0.001706	0.027533	-0.000079	0.001650
154	0.000155	-0.003446	0.001566	0.014803	-0.000271	0.008069	0.000111	0.002704
155	-0.000555	-0.004025	-0.001579	0.011887	0.001111	0.003854	-0.000088	0.001850
156	-0.000831	-0.006023	0.001570	0.007525	0.001237	0.000222	0.000098	0.004138
157	0.000768	-0.002242	-0.001480	-0.003371	-0.001123	0.006018	-0.000085	0.000866
158	0.000633	-0.003496	0.001504	0.003138	-0.001065	-0.006894	0.000116	0.004609
159	-0.000014	-0.000892	-0.001341	0.010705	0.000339	0.004961	-0.000129	0.005167
160	-0.001178	0.004035	0.001390	-0.001247	0.001797	-0.000538	0.000085	-0.003685
161	0.000144	0.002461	-0.001220	-0.009776	0.000016	0.002647	-0.000124	0.003629
162	0.000679	0.007292	0.001299	-0.018666	-0.001209	-0.002638	0.000068	-0.005652
163	0.000665	0.004288	-0.001095	-0.009753	-0.000669	0.009260	-0.000164	0.003872
164	-0.000991	0.005923	0.001172	-0.006225	0.001563	-0.011178	0.000057	-0.003927
165	-0.000510	0.002925	-0.000915	-0.004416	0.001167	0.019100	-0.000169	0.000641
166	0.000208	0.006352	0.001007	-0.015643	-0.000602	0.021926	0.000057	-0.000852
167	0.001136	0.003775	-0.000699	-0.004132	-0.001364	0.023093	-0.000170	0.000725
168	-0.000466	-0.002061	0.000874	0.003416	0.000550	0.043045	0.000047	0.000776
169	-0.000762	-0.002034	-0.000528	0.017003	0.001683	0.027343	-0.000156	0.000508
170	-0.000513	-0.010169	0.000713	0.057866	0.000413	0.014821	0.000048	0.009616
171	0.001077	-0.004572	-0.000322	0.052608	-0.001372	0.023461	-0.000180	0.001063
172	0.000217	-0.009237	0.000494	0.063474	-0.000648	0.010549	0.000055	0.007406
173	-0.000535	-0.000895	-0.000148	0.060685	0.001374	0.006269	-0.000177	0.004305
174	-0.001156	-0.003909	0.000291	0.046971	0.001402	0.008244	0.000017	0.002052
175	0.000611	0.001673	0.000033	0.034394	-0.000567	-0.009089	-0.000138	0.006823
176	0.000623	-0.002188	0.000129	0.047237	-0.001425	-0.018454	0.000048	-0.000910
177	0.000132	0.006039	0.000210	0.021400	0.000352	0.005424	-0.000159	0.005572
178	-0.001282	0.007761	-0.000065	0.020856	0.001757	-0.023620	0.000091	-0.000995
179	-0.000124	0.009007	0.000412	0.033327	0.000586	0.003452	-0.000118	0.003485
180	0.000597	0.010104	-0.000222	-0.002655	-0.001355	0.006398	0.000077	-0.001831
181	0.000848	0.007626	0.000530	0.019753	-0.000811	0.021778	-0.000076	0.003148
182	-0.000954	0.007713	-0.000358	-0.017854	0.001241	-0.004886	0.000085	0.001949
183	-0.000661	0.009100	0.000600	-0.000791	0.001546	0.031412	-0.000084	0.000945
184	0.000060	0.005887	-0.000481	0.013763	-0.000529	0.008205	0.000129	0.006981
185	0.001211	0.006436	0.000680	0.009440	-0.001541	0.028113	-0.000095	-0.002269
186	-0.000177	0.002834	-0.000602	0.015612	0.000105	0.038686	0.000129	0.001575
187	-0.000801	0.000835	0.000699	0.013118	0.001700	0.012958	-0.000049	0.004075
188	-0.000657	-0.001423	-0.000627	0.051422	0.000650	0.048362	0.000102	-0.002915
189	0.001080	0.001699	0.000676	0.017451	-0.001380	0.037533	-0.000046	0.006715
190	0.000494	-0.002289	-0.000603	0.065078	-0.001093	0.031081	0.000149	-0.001234
191	-0.000341	-0.001414	0.000621	0.045979	0.001086	0.044052	-0.000049	0.003572
192	-0.001140	-0.001590	-0.000575	0.045455	0.001549	0.014946	0.000180	0.007358
193	0.000456	-0.002964	0.000512	0.068036	-0.000450	0.030335	-0.000054	-0.000607
194	0.000908	-0.004955	-0.000505	0.006950	-0.001748	-0.000642	0.000156	0.011370
195	0.000418	0.000236	0.000344	0.054779	-0.000146	0.005148	-0.000021	0.003866
196	-0.001164	-0.000166	-0.000380	0.010329	0.001581	-0.005939	0.000131	0.006621
197	-0.000247	0.006563	0.000115	0.044657	0.000811	-0.000777	-0.000061	0.008807
198	0.000628	0.003118	-0.000245	0.024284	-0.001533	0.002505	0.000185	0.001269
199	0.001077	0.005791	-0.000074	0.006320	-0.001288	0.005123	-0.000069	0.011335
200	-0.000618	0.006441	-0.000047	0.017497	0.000722	-0.016306	0.000210	0.000908
201	-0.000776	0.008656	-0.000284	-0.001275	0.001607	0.015479	-0.000019	0.005922
